rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
182,Bridgeport,Connecticut,144900,144229,+0.47,16.1  ,41.7 ,9064 ,3500,"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",area code,county,• land,• mayor,• metro,• type,• water, , 41.187, -73.1958,USA
183,McAllen,Texas,143433,129877,+10.44,58.4  ,151.3 ,2435 ,940,"https://en.wikipedia.org/wiki/McAllen,_Texas",area code,county,• land,nan,• metro,• type,• water, , 26.232, -98.2464,USA
184,Mesquite,Texas,142816,139824,+2.14,47.2  ,122.2 ,3045 ,1176,"https://en.wikipedia.org/wiki/Mesquite,_Texas",area code,counties,• land,nan,nan,• type,• water, , 32.762, -96.5888,USA
185,Syracuse,New York,142749,145170,−1.67,25.0  ,64.7 ,5735 ,2214,"https://en.wikipedia.org/wiki/Syracuse,_New_York",nan,county,• land,• mayor,• metro,• type,• water, , 43.041, -76.1436,USA
186,Midland,Texas,142344,111147,+28.07,74.4  ,192.7 ,1809 ,698,"https://en.wikipedia.org/wiki/Midland,_Texas",area code,counties,• land,• mayor,• metro,• type,• water, ,32.0246,-102.1135,USA
187,Pasadena,California,141371,137122,+3.10,23.0  ,59.6 ,6176 ,2385,"https://en.wikipedia.org/wiki/Pasadena,_California",area codes,county,• land,• mayor,nan,• type,• water, ,34.1606,-118.1396,USA
188,Murfreesboro,Tennessee,141344,108755,+29.97,55.9  ,144.8 ,2360 ,910,"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee",area code,county,• land,• mayor,nan,• type,• water, , 35.852, -86.4160,USA
189,Miramar,Florida,140823,122041,+15.39,29.4  ,76.1 ,4709 ,1818,"https://en.wikipedia.org/wiki/Miramar,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 25.977, -80.3358,USA
190,Dayton,Ohio,140640,141527,−0.63,55.7  ,144.3 ,2522 ,974,"https://en.wikipedia.org/wiki/Dayton,_Ohio",area code,county,• land,• mayor,• metro,nan,• water, , 39.777, -84.1996,USA
191,Fullerton,California,139640,135161,+3.31,22.4  ,58.0 ,6282 ,2425,"https://en.wikipedia.org/wiki/Fullerton,_California",area codes,county,• land,nan,nan,• type,• water, ,33.8857,-117.9280,USA
192,Olathe,Kansas,139605,125872,+10.91,60.9  ,157.7 ,2225 ,859,"https://en.wikipedia.org/wiki/Olathe,_Kansas",area code,county,• land,• mayor,• metro,• type,• water, , 38.884, -94.8195,USA
193,Orange,California,139484,136416,+2.25,25.4  ,65.8 ,5532 ,2136,"https://en.wikipedia.org/wiki/Orange,_California",area codes,county,• land,nan,nan,• type,• water, ,33.7870,-117.8613,USA
194,Thornton,Colorado,139436,118772,+17.40,35.7  ,92.5 ,3829 ,1478,"https://en.wikipedia.org/wiki/Thornton,_Colorado",area code,counties,• land,• mayor,nan,• type,• water, ,39.9194,-104.9428,USA
195,Roseville,California,139117,118788,+17.11,43.0  ,111.4 ,3085 ,1191,"https://en.wikipedia.org/wiki/Roseville,_California",area code,county,• land,• mayor,nan,• type,• water, ,38.7690,-121.3189,USA
196,Denton,Texas,138541,113383,+22.19,93.4  ,241.9 ,1433 ,553,"https://en.wikipedia.org/wiki/Denton,_Texas",area code,county,• land,nan,nan,• type,• water, , 33.216, -97.1414,USA
197,Waco,Texas,138183,124805,+10.72,89.0  ,230.5 ,1510 ,580,"https://en.wikipedia.org/wiki/Waco,_Texas",area code,county,• land,nan,• metro,• type,• water, , 31.560, -97.1860,USA
198,Surprise,Arizona,138161,117517,+17.57,107.9  ,279.5 ,1230 ,470,"https://en.wikipedia.org/wiki/Surprise,_Arizona",area code,county,• land,• mayor,• metro,nan,• water, ,33.6706,-112.4527,USA
199,Carrollton,Texas,136879,119097,+14.93,36.3  ,94.0 ,3674 ,1419,"https://en.wikipedia.org/wiki/Carrollton,_Texas",area code,counties,• land,• mayor,• metro,• type,• water, , 32.988, -96.8998,USA
